SYMBOL	logFC	logCPM	PValue	FDR	test	gene_chr	HGNC.ID	Approved.Symbol	Approved.Name	Status	Previous.Symbols	Synonyms	Chromosome	Accession.Numbers	Entrez.Gene.ID	RefSeq.IDs	Duplicated	hgnc.chr
AAMDC	0.0421248271776763	2.46435900324902	0.945002441349107	0.981387150731128	0	chr11	HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854	28971	NM_024684	FALSE	chr11
AAMP	0.0182707848780042	6.04492641026897	0.836049200544365	0.904154929265492	0	chr2	HGNC:18	AAMP	angio associated migratory cell protein	Approved			2q35	AB209790	14	NM_001087	FALSE	chr2
AAR2	0.128916022396099	5.5614250930131	0.101626475484914	0.176377441740788	0	chr20	HGNC:15886	AAR2	AAR2 splicing factor homolog	Approved	C20orf4	bA234K24.2	20q11.23		25980	NM_015511	FALSE	chr20
AARS	0.1941214927251	9.3603154497995	9.38914454605729e-08	5.69057986311634e-07	1	chr16	HGNC:20	AARS	alanyl-tRNA synthetase	Approved		CMT2N, AlaRS	16q22.1	D32050	16	NM_001605	FALSE	chr16
AARS2	-0.114630318518833	4.73567581756407	0.235983267694187	0.349306709507187	0	chr6	HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096	57505	NM_020745	FALSE	chr6
AASDH	-0.141071284125712	4.35863174170729	0.217061458178548	0.326829398709251	0	chr4	HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved		NRPS998, LYS2, ACSF4	4q12	AF516672	132949	NM_181806	FALSE	chr4
AASDHPPT	-0.0333998233932512	6.34706100316554	0.534743410664756	0.659632118923766	0	chr11	HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	AF302110	60496	NM_015423	FALSE	chr11
AASS	-0.189482712142828	4.17654368951087	0.130855127528243	0.217263107366648	0	chr7	HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved		LORSDH, LKRSDH	7q31.32	AF229180	10157	NM_005763	FALSE	chr7
AATF	0.14492957125166	7.13713334747133	0.00670456259704934	0.0173502656416137	1	chr17	HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved		DED, CHE-1, CHE1, BFR2	17q12	AF083208	26574	NM_012138	FALSE	chr17
ABAT	1.80329170183127	1.48769800713079	1.66758265480993e-08	1.09891182646196e-07	1	chr16	HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved		GABAT	16p13.2	L32961	18	NM_020686	FALSE	chr16
ABCA1	2.01131913933709	4.78626837899152	6.06061205589188e-64	4.22520702781796e-62	1	chr9	HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	ABC1, HDLDT1	TGD	9q31.1	AJ012376	19	NM_005502	FALSE	chr9
ABCA11P	0.0335973321445779	2.32853775202656	0.935240965739788	0.973786357700825	0	chr4	HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Approved	ABCA11	EST1133530, FLJ14297	4p16.3	AK024359	79963	NR_002451.2	FALSE	chr4
ABCA12	2.03456830357282	1.86742672898609	3.82770582145866e-10	3.00146717087705e-09	1	chr2	HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	ICR2B	DKFZP434G232, LI2	2q35	AF418105	26154	NM_173076	FALSE	chr2
ABCA2	0.486292872223141	5.72178244011265	1.29114314267479e-10	1.06273575575774e-09	1	chr9	HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	ABC2		9q34.3	U18235	20	NM_001606	FALSE	chr9
ABCA3	0.860114936068189	5.99141791059245	1.03113332896165e-30	2.82907505610595e-29	1	chr16	HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735	21	NM_001089	FALSE	chr16
ABCA5	-0.170185032055106	2.74812219091853	0.386841520695272	0.514578680119933	0	chr17	HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved		EST90625	17q24.3	U66672	23461	NM_018672	FALSE	chr17
ABCA7	-0.348633099250843	4.26447775922614	0.00229815003799717	0.00667117137309849	-1	chr19	HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved		ABCX	19p13.3	AF328787	10347	NM_019112	FALSE	chr19
ABCA8	0.954460187985918	-0.0705494265696261	0.10255608340137	0.177724872593681	0	chr17	HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved		KIAA0822	17q24.2	AB020629	10351	NM_007168	FALSE	chr17
ABCB10	0.248774305060702	6.45058102651975	5.54145806720102e-05	0.000223374161204899	1	chr1	HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved		EST20237, M-ABC2, MTABC2	1q42.13	U18237	23456	NM_012089	FALSE	chr1
ABCB5	0.725962946102383	1.54100253293883	0.0221497058129486	0.0488649397823963	1	chr7	HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved		EST422562, ABCB5beta, ABCB5alpha	7p21.1	U66692	340273	NM_178559	FALSE	chr7
ABCB6	-0.562604468937842	6.03575859620739	2.93879273403741e-16	3.94915843986277e-15	-1	chr2	HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved		EST45597, umat, MTABC3	2q35	AF070598	10058	NM_005689	FALSE	chr2
ABCB7	0.111197549111112	5.87174076460811	0.116601961415614	0.197978150617568	0	chrX	HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950	22	NM_004299	FALSE	chrX
ABCB8	0.214515856911815	4.7575840604883	0.0326278841196869	0.0679397006037157	0	chr7	HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved		EST328128, M-ABC1, MABC1	7q36.1	AF047690	11194	NM_007188	FALSE	chr7
ABCB9	0.235761768821937	2.66220463702975	0.273661315520072	0.3937488511791	0	chr12	HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved		EST122234	12q24.31	U66676	23457	NM_019624	FALSE	chr12
ABCC1	-0.0214777100398281	7.79933873523424	0.607187194100073	0.723903768089779	0	chr16	HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	MRP, MRP1	GS-X	16p13.11	L05628	4363	NM_004996	FALSE	chr16
ABCC10	0.103060587442568	4.10229220026494	0.385165542280589	0.513044684528686	0	chr6	HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved		EST182763, MRP7, SIMRP7	6p21.1	U66684	89845	NM_033450	FALSE	chr6
ABCC2	-0.462031966028638	9.42430967599418	1.06362317404851e-35	3.47941139859254e-34	-1	chr10	HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	CMOAT	DJS, MRP2, cMRP	10q24.2	U63970	1244	NM_000392	FALSE	chr10
ABCC3	-0.130950608750474	7.71446555110256	0.00244081153889605	0.00705160181459144	-1	chr17	HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	Y17151	8714	NM_020038	FALSE	chr17
ABCC4	-8.24494179074148e-05	7.28250655714253	0.949900371511037	0.984870291730013	0	chr13	HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved		MRP4, EST170205, MOAT-B, MOATB	13q32.1	U66682	10257	NM_005845	FALSE	chr13
ABCC5	-0.47770765602478	4.62319908459488	8.80475875282415e-06	4.05381133773116e-05	-1	chr3	HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved		MRP5, SMRP, EST277145, MOAT-C	3q27.1	AF104942	10057	NM_005688	FALSE	chr3
ABCC6	-0.641037999653535	2.73363363495737	0.0010172770667051	0.00320296663796239	-1	chr16	HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622	368		FALSE	chr16
ABCC6P2	0.305378253402133	0.744326390550641	0.671848169059799	0.776896090330671	0	chr16	HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved			16p13.11		730013	NR_023387	FALSE	chr16
ABCD1	-0.846635297752871	1.90221207566124	0.0027647699417175	0.00785938835036362	-1	chrX	HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876	215	NM_000033	FALSE	chrX
ABCD3	-0.239183246542892	7.55167671421402	7.14144751484164e-08	4.37400803621458e-07	-1	chr1	HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	PXMP1	PMP70, ZWS2	1p21.3	M81182	5825	NM_002858	FALSE	chr1
ABCD4	0.247449305382735	4.46912649223326	0.0335105445502051	0.0694601994104821	0	chr14	HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	PXMP1L	PMP69, P70R, EST352188	14q24.3	AF009746	5826	NM_005050	FALSE	chr14
ABCE1	0.031998479617532	7.52115336017526	0.497564498199386	0.623813666276314	0	chr4	HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	X74987	6059	NM_002940	FALSE	chr4
ABCF1	-0.115589911363576	6.74405339975179	0.0391137562163603	0.0791958898283327	0	chr6	HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	ABC50	EST123147	6p21.33	AF027302	23		FALSE	chr6
ABCF2	-4.24029957787623e-05	6.81492148922422	0.976905297849379	1	0	chr7	HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016	10061	NM_005692	FALSE	chr7
ABCF3	-0.089183423572286	5.11173200887527	0.328440373192081	0.454429704034251	0	chr3	HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved		EST201864	3q27.1	U66685	55324	NM_018358	FALSE	chr3
ABCG1	2.23446926330271	-0.0974464004185641	0.000132965139170274	0.000500551562565465	1	chr21	HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved		ABC8	21q22.3	U34919	9619	NM_207174	FALSE	chr21
ABCG2	-0.158681068827448	6.12047833244111	0.0105349900791089	0.0257333722820739	-1	chr4	HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	9429	NM_004827	FALSE	chr4
ABHD10	0.391970768338744	5.61594159756918	4.25661531449625e-07	2.36420975978856e-06	1	chr3	HGNC:25656	ABHD10	abhydrolase domain containing 10	Approved		FLJ11342	3q13.2	AL713726	55347	NM_018394	FALSE	chr3
ABHD11	0.0290650575634616	3.24600526598419	0.914600568660149	0.959578458467613	0	chr7	HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	PP1226	7q11.23	AF217971	83451		FALSE	chr7
ABHD12	0.0869390223986003	5.51464225855325	0.236224888249156	0.349584015547933	0	chr20	HGNC:15868	ABHD12	abhydrolase domain containing 12	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442	26090	NM_015600	FALSE	chr20
ABHD13	0.0143249195862039	4.71863099334177	1	1	0	chr13	HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	AK027812	84945	NM_032859	FALSE	chr13
ABHD14A	-0.0161634923549597	2.14555667393637	0.933817410500238	0.972859915332519	0	chr3	HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved		DKFZP564O243, DORZ1	3p21.2	AY358201	25864	NM_015407	FALSE	chr3
ABHD14B	0.096869404984969	5.11769022136924	0.280146282242017	0.400639644529049	0	chr3	HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved		MGC15429, CIB	3p21.2	AK075112	84836	NM_032750	FALSE	chr3
ABHD15	0.0612121640378286	4.95274905982239	0.488183617531881	0.615300119447906	0	chr17	HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved			17q11.2	AK056717	116236	NM_198147	FALSE	chr17
ABHD16A	0.173644367600998	3.79555937480782	0.210149617142927	0.318494751189054	0	chr6	HGNC:13921	ABHD16A	abhydrolase domain containing 16A	Approved	BAT5	NG26, D6S82E	6p21.33	AF129756	7920		FALSE	chr6
ABHD17A	0.0389522046416262	4.93096765052381	0.756993318704688	0.845380336590372	0	chr19	HGNC:28756	ABHD17A	abhydrolase domain containing 17A	Approved	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512	81926	NM_031213	FALSE	chr19
ABHD17B	-0.0237132107216823	4.72701217540382	0.933377743255425	0.972799056323234	0	chr9	HGNC:24278	ABHD17B	abhydrolase domain containing 17B	Approved	C9orf77, FAM108B1	CGI-67	9q21.13	AF151825	51104	NM_016014	FALSE	chr9
ABHD17C	0.469168788566068	5.28016076846013	5.79855651651041e-08	3.58942183588742e-07	1	chr15	HGNC:26925	ABHD17C	abhydrolase domain containing 17C	Approved	FAM108C1		15q25.1		58489	NM_021214	FALSE	chr15
ABHD2	-0.0633810362375501	6.93639730337304	0.204616226313108	0.311663540508911	0	chr15	HGNC:18717	ABHD2	abhydrolase domain containing 2	Approved		LABH2	15q26.1	X12433	11057		FALSE	chr15
ABHD3	0.585508475760111	4.01220221656044	1.02612805998217e-05	4.66714502290643e-05	1	chr18	HGNC:18718	ABHD3	abhydrolase domain containing 3	Approved		LABH3	18q11.2	AK024880	171586		FALSE	chr18
ABHD4	-0.503383937002884	6.36721164922841	7.27813255894579e-17	1.01702535801786e-15	-1	chr14	HGNC:20154	ABHD4	abhydrolase domain containing 4	Approved		FLJ12816	14q11.2	AK022878	63874		FALSE	chr14
ABHD5	-0.0731783399807945	4.20214822252836	0.504438704199526	0.630387793924729	0	chr3	HGNC:21396	ABHD5	abhydrolase domain containing 5	Approved		CGI-58, NCIE2	3p21.33	AF007132	51099	NM_016006	FALSE	chr3
ABHD6	-0.728619045375377	4.09385013835441	1.65191162142022e-08	1.08972213683013e-07	-1	chr3	HGNC:21398	ABHD6	abhydrolase domain containing 6	Approved			3p14.3	AF225418	57406	NM_020676	FALSE	chr3
ABHD8	-0.445776368192447	0.832592579332342	0.366062414433644	0.494166999525387	0	chr19	HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved		FLJ11743, MGC14280, MGC2512	19p13.11	AK021805	79575	NM_024527	FALSE	chr19
ABI1	0.253202188616692	6.4138194267632	2.1445189494566e-05	9.2462902187115e-05	1	chr10	HGNC:11320	ABI1	abl interactor 1	Approved	SSH3BP1	E3B1, ABI-1	10p12.1	U87166	10006	NM_005470	FALSE	chr10
ABI2	-0.295427610121721	6.50252700688996	1.51550814480628e-06	7.8342191699508e-06	-1	chr2	HGNC:24011	ABI2	abl interactor 2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	AF260261	10152	NM_005759	FALSE	chr2
ABL1	0.211425233149458	7.05756846990769	2.49906640761947e-05	0.000106100130543791	1	chr9	HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	JTK7, c-ABL, p150	9q34.12	M14752	25	NM_007313	FALSE	chr9
ABL2	-0.17399402894425	6.73169044089804	0.00166794373978505	0.00499991217861317	-1	chr1	HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	ARG	1q25.2	M14904	27	NM_005158	FALSE	chr1
ABLIM1	-0.049940142399108	8.35528252863442	0.20791000555868	0.315662959766469	0	chr10	HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	LIMAB1, ABLIM	abLIM, limatin	10q25.3	AF005654	3983		FALSE	chr10
ABLIM3	0.901535340620019	0.915799534070142	0.0310490561960175	0.0651948418283066	0	chr5	HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved		KIAA0843	5q32	AB020650	22885	NM_014945	FALSE	chr5
ABR	0.613229563183505	6.88734169547314	3.29134170109695e-29	8.46591480294251e-28	1	chr17	HGNC:81	ABR	active BCR-related	Approved		MDB	17p13.3	L19704	29		FALSE	chr17
ABRACL	0.131582629822905	4.38548297861776	0.260561158222449	0.378701214012531	0	chr6	HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953	58527	NM_021243	FALSE	chr6
ABT1	0.0142023030173313	4.44613478377191	0.866133480903646	0.924014728560733	0	chr6	HGNC:17369	ABT1	activator of basal transcription 1	Approved		Esf2	6p22.2	AB027258	29777		FALSE	chr6
ABTB1	-0.557493892010776	1.86826950895759	0.0460900162398214	0.0910806113983336	0	chr3	HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	AB053324	80325	NM_172027	FALSE	chr3
ABTB2	0.0191406530126579	4.56939168023245	0.769240725842262	0.855466268296019	0	chr11	HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	25841	NM_145804	FALSE	chr11
ACAA1	0.535135599834974	4.74115805725173	1.37677454176119e-07	8.16212342183514e-07	1	chr3	HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved			3p22.2	X14813	30	NM_001607	FALSE	chr3
ACAA2	0.283599756720367	6.67126278302008	5.62262492312061e-07	3.0655319986826e-06	1	chr18	HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved		DSAEC	18q21.1	D16294	10449	NM_006111	FALSE	chr18
ACACA	-0.0768616609660239	7.60274925573564	0.0970434896667846	0.16984587871518	0	chr17	HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	ACAC, ACC	ACC1	17q12	U19822	31	NM_198836	FALSE	chr17
ACACB	-0.50237140315242	4.37669164707964	7.45434535360522e-06	3.47089554822246e-05	-1	chr12	HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved		HACC275, ACC2, ACCB	12q24.11	U89344	32	NM_001093	FALSE	chr12
ACAD10	0.108346970189834	4.73725468409045	0.289271392025419	0.411017309217095	0	chr12	HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	Approved		MGC5601	12q24.12	AY323912	80724	NM_025247	FALSE	chr12
ACAD8	0.109518642125106	3.73710072584821	0.543101188219308	0.667394043469653	0	chr11	HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	Approved			11q25	AF126245	27034	NM_014384	FALSE	chr11
ACAD9	0.136507456866551	5.3965062517819	0.0960776689280204	0.168512359112412	0	chr3	HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Approved		NPD002, MGC14452	3q21.3	AF078854	28976	NM_014049	FALSE	chr3
ACADM	0.147392990257367	5.48957936501895	0.0745976911303454	0.137028776447635	0	chr1	HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	Approved		MCAD, MCADH, ACAD1	1p31.1	M16827	34		FALSE	chr1
ACADS	0.0442280544940236	3.98211517721546	0.704693526664877	0.804661238090978	0	chr12	HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	Approved		SCAD, ACAD3	12q24.31	M26393	35	NM_000017	FALSE	chr12
ACADSB	0.151750247058318	5.99695519197615	0.0328167532958696	0.0682216292241655	0	chr10	HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	Approved		SBCAD, ACAD7	10q26.13	U12778	36	NM_001609	FALSE	chr10
ACADVL	-0.26627663425312	7.53726032782272	1.78612536590618e-08	1.17158804206844e-07	-1	chr17	HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	Approved		VLCAD, LCACD, ACAD6	17p13.1	BC012912	37	NM_000018	FALSE	chr17
ACAP2	-0.0125901445752302	6.56680144178204	0.827644406098351	0.898393275516045	0	chr3	HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	KIAA0041, CNT-B2	3q29		23527	NM_012287	FALSE	chr3
ACAP3	-0.143119209928319	4.48057808898171	0.21867912192096	0.328572398712473	0	chr1	HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	KIAA1716	1p36.33	AF411981	116983	NM_030649	FALSE	chr1
ACAT1	0.584191066682863	6.41430205993811	2.93797736574663e-21	5.2867017252744e-20	1	chr11	HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	Approved	ACAT	THIL	11q22.3	D90228	38	NM_000019	FALSE	chr11
ACAT2	-0.834682254620011	6.64118734697761	1.11552686139044e-49	5.3503352246689e-48	-1	chr6	HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Approved			6q25.3	AF356877	39	NM_005891	TRUE	chr6
ACAT2	-0.834682254620011	6.64118734697761	1.11552686139044e-49	5.3503352246689e-48	-1	chr6	HGNC:11178	SOAT2	sterol O-acyltransferase 2	Approved		ACAT2	12q13.13	AF059203	8435		TRUE	chr12
ACBD3	0.094635417541007	7.10120122166314	0.062712974328925	0.118497056648167	0	chr1	HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	GOLPH1, GOCAP1	GCP60, PAP7	1q42.12	AB043587	64746	NM_022735	FALSE	chr1
ACBD4	0.00876449600873026	2.91993508425915	0.999999999999999	1	0	chr17	HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Approved		FLJ13322	17q21.31	BC029164	79777	NM_024722	FALSE	chr17
ACBD5	-0.575699488838426	6.71503087810633	4.71024249890836e-24	9.73959056743482e-23	-1	chr10	HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Approved		DKFZp434A2417, KIAA1996	10p12.1	AF505653	91452	NM_145698	FALSE	chr10
ACBD6	0.00538929896142966	5.96061941721042	0.966331178312276	0.997124973544809	0	chr1	HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Approved		MGC2404	1q25.2-q25.3	BC006505	84320	NM_032360	FALSE	chr1
ACBD7	1.00008861747624	2.08091616639729	0.000780930591066139	0.00252039273483982	1	chr10	HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Approved		FLJ38219, bA455B2.2	10p13	AK095538	414149		FALSE	chr10
ACCS	-0.368738939068814	3.61742250209395	0.0120781244138632	0.0289712159377192	-1	chr11	HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Approved		PHACS, ACS	11p11.2	AY026508	84680	NM_032592	FALSE	chr11
ACD	0.189920745104781	4.2857043895003	0.08614908977422	0.154020471880535	0	chr16	HGNC:25070	ACD	ACD, shelterin complex subunit and telomerase recruitment factor	Approved		Ptop, Pip1, Tpp1, Tint1	16q22.1	AF070535	65057	NM_022914	FALSE	chr16
ACER2	-0.104465076721251	2.96263386912063	0.555741602058616	0.678873167279186	0	chr9	HGNC:23675	ACER2	alkaline ceramidase 2	Approved	ASAH3L	FLJ41587, ALKCDase2	9p22.1	AK123581	340485	NM_001010887	FALSE	chr9
ACER3	-0.235587751330192	6.16121260466912	0.000235228788508684	0.000847036094776682	-1	chr11	HGNC:16066	ACER3	alkaline ceramidase 3	Approved	PHCA	FLJ11238, APHC	11q13.5	AF214454	55331	NM_018367	FALSE	chr11
ACIN1	0.116426889977263	7.77570176340587	0.00800478755526787	0.0201947952600568	1	chr14	HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	Approved	ACINUS	KIAA0670, fSAP152	14q11.2	AB014570	22985	NM_014977	FALSE	chr14
ACLY	0.247368829661216	10.1013358713014	2.83992968529346e-12	2.7427572236922e-11	1	chr17	HGNC:115	ACLY	ATP citrate lyase	Approved		ATPCL, CLATP, ACL	17q21.2	X64330	47	NM_001096	FALSE	chr17
ACO1	0.00839583935563693	6.50798672524839	0.955114143481548	0.98866906633165	0	chr9	HGNC:117	ACO1	aconitase 1	Approved	IREB1	IRP1, IREBP	9p21.1	M58510	48	NM_002197	FALSE	chr9
ACO2	0.124274983866938	7.40679049196465	0.00823032238935925	0.0207105430065967	1	chr22	HGNC:118	ACO2	aconitase 2	Approved		ACONM	22q13.2	AH006514	50	NM_001098	FALSE	chr22
ACOT1	0.0155070353559152	2.89320506283335	0.865228863952722	0.923932326173902	0	chr14	HGNC:33128	ACOT1	acyl-CoA thioesterase 1	Approved		ACH2, CTE-1, LACH2	14q24.3	DQ082754	641371	NM_001037161	FALSE	chr14
ACOT11	0.192811356744673	1.40374290380647	0.619304101975513	0.734164814440029	0	chr1	HGNC:18156	ACOT11	acyl-CoA thioesterase 11	Approved	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	1p32.3	AB014607	26027	NM_015547	FALSE	chr1
